,Consumption (KWH)
2012-03-16,18689579.41068741
2012-03-23,16748002.32609294
2012-03-30,20591228.933516175
2012-04-06,22716710.2987102
2012-04-13,20456736.717288397
2012-04-20,18111494.724392306
2012-04-27,22037351.678313132
2012-05-04,20796630.504718363
2012-05-11,22371719.24683031
2012-05-18,22814036.570138205
2012-05-25,22937385.51012577
2012-06-01,18527763.131237663
2012-06-08,19980126.146133635
2012-06-15,23556236.212502938
2012-06-22,13937638.275002459
2012-06-29,17127048.461629506
2012-07-06,18062246.950540673
2012-07-13,17254714.02429743
2012-07-20,18379744.288529944
2012-07-27,17467640.811385453
2012-08-03,26259800.350368146
2012-08-10,26622979.405567434
2012-08-17,19382285.30138169
2012-08-24,24344517.13129727
2012-08-31,40230544.963685974
2012-09-07,38377791.096528485
2012-09-14,43147015.011430494
2012-09-21,36912706.92835506
2012-09-28,28845853.10750764
2012-10-05,37852853.35111855
2012-10-12,31677720.140071195
2012-10-19,24290600.40130262
2012-10-26,34641424.72707584
2012-11-02,31512718.63413083
2012-11-09,29722438.745673712
2012-11-16,29347777.893119607
2012-11-23,15594944.235941734
2012-11-30,19910472.29432187
2012-12-07,21359430.7689115
2012-12-14,16282449.346720137
2012-12-21,19128153.354104757
2012-12-28,18022858.4041514
2013-01-04,24894058.376346234
2013-01-11,23530922.88307452
2013-01-18,22666159.336427856
2013-01-25,24160415.36165449
2013-02-01,26075933.366234515
2013-02-08,23242871.7148664
2013-02-15,28255411.55724458
2013-02-22,21493686.346320838
2013-03-01,20190416.000377532
2013-03-08,19049402.801076736
2013-03-15,14571212.221477263
2013-03-22,23294346.630747635
2013-03-29,19662079.181740426
2013-04-05,18212062.359863956
2013-04-12,20618444.85367317
2013-04-19,17298110.161851615
2013-04-26,20720629.442870837
2013-05-03,23197842.146259587
2013-05-10,22416010.000994746
2013-05-17,16653989.633102037
2013-05-24,24505142.21964363
2013-05-31,17585401.03041596
2013-06-07,18130808.594568368
2013-06-14,14867731.77685569
2013-06-21,17535379.682602484
2013-06-28,17289804.915557496
2013-07-05,14281155.806122217
2013-07-12,19518749.829131924
2013-07-19,16074583.666996578
2013-07-26,18318595.75607274
2013-08-02,15353570.94167653
2013-08-09,30157921.623053048
2013-08-16,24147571.87545621
2013-08-23,27765482.355967995
2013-08-30,27577322.145522732
2013-09-06,29342320.47239173
2013-09-13,38322892.890929304
2013-09-20,34789522.15160522
2013-09-27,31996958.48507376
2013-10-04,23721851.607527725
2013-10-11,27734027.789831236
2013-10-18,22012924.563787863
2013-10-25,24014857.10964508
2013-11-01,23086565.929208096
2013-11-08,30823356.19798441
2013-11-15,31133755.48394802
2013-11-22,31092985.1870605
2013-11-29,32068183.131007068
2013-12-06,16100130.217654875
2013-12-13,27673783.16518883
2013-12-20,22857458.412815038
2013-12-27,24273685.204341255
2014-01-03,14594500.582474599
2014-01-10,16973283.632019788
2014-01-17,19216703.803128235
2014-01-24,22532094.505118832
2014-01-31,16032463.477258552
2014-02-07,15312572.267223757
2014-02-14,22608718.273430295
2014-02-21,19810338.255836233
2014-02-28,24805809.50829798
2014-03-07,19379040.695211735
2014-03-14,25437005.021129753
2014-03-21,32798081.810778085
2014-03-28,23252477.132187568
2014-04-04,19869331.0359046
2014-04-11,15494407.357815813
2014-04-18,18651613.302520182
2014-04-25,19438213.303289525
2014-05-02,17259647.675614767
2014-05-09,20381432.360759713
2014-05-16,14634200.600467488
